ID_Ativo,Tipo,Marca,Modelo,Numero_Serie,Processador,RAM_GB,Armazenamento_GB,Tipo_Armazenamento,Sistema_Operacional,Versao_SO,Data_Aquisicao,Valor_Aquisicao,Garantia_Inicio,Garantia_Fim,Localizacao,Departamento,Usuario,Status,Observacoes
HW-0019,Notebook,Asus,ExpertCenter D700,ASU373148,Apple M2,16,512,SSD,Windows 11 Pro,10.0,2025-03-21,6673,2025-03-21,2026-03-21,Matriz - 1º Andar,Financeiro,usuario45,Inativo,
HW-0020,Smartphone,Motorola,Moto G,MOT385532,Qualcomm Snapdragon,4,128,NVMe,Android,22.04,2024-02-14,2062,2024-02-14,2029-02-12,Matriz - 2º Andar,RH,usuario19,Inativo,
HW-0021,Tablet,Samsung,Galaxy Tab S8,SAM807724,Qualcomm Snapdragon,8,256,HDD,Android,22.04,2023-11-20,3572,2023-11-20,2026-11-19,Matriz - 3º Andar,Comercial,usuario93,Ativo,
HW-0022,Servidor,HP,EliteDesk 800,HP578265,Intel Xeon Gold 6226R,32,2000,HDD,Windows Server 2019,10.0,2023-06-13,17890,2023-06-13,2026-06-12,Matriz - 2º Andar,TI,usuario82,Ativo,
HW-0023,Tablet,Samsung,Galaxy S22,SAM927007,Qualcomm Snapdragon,4,256,SSD,Android,22.04,2021-08-01,2217,2021-08-01,2022-08-01,Filial RJ,Operações,usuario64,Ativo,
HW-0024,Notebook,Dell,Latitude 5420,DEL186507,Intel Core i5-11400,32,256,NVMe,Windows 10 Pro,10.0,2025-03-07,9955,2025-03-07,2026-03-07,Matriz - 3º Andar,Comercial,usuario50,Ativo,
HW-0025,Notebook,Apple,iPad Pro,APP911198,Apple M1,32,256,HDD,macOS Ventura,12.0,2021-07-31,8780,2021-07-31,2022-07-31,Matriz - 3º Andar,Marketing,usuario90,Ativo,
HW-0026,Notebook,Dell,OptiPlex 7090,DEL279438,Apple M1,32,512,NVMe,Windows 11 Pro,10.0,2024-11-20,10451,2024-11-20,2025-11-20,Filial SP,Marketing,usuario13,Ativo,
HW-0027,Notebook,Dell,OptiPlex 7090,DEL463118,Intel Xeon Gold 6226R,16,512,NVMe,Windows 10 Pro,10.0,2024-03-25,5241,2024-03-25,2025-03-25,Filial SP,Comercial,usuario64,Inativo,
HW-0028,Tablet,Samsung,Galaxy Tab S8,SAM787104,Qualcomm Snapdragon,4,128,SSD,Android,22.04,2023-02-06,4231,2023-02-06,2026-02-05,Data Center,Operações,usuario90,Ativo,
HW-0029,Smartphone,Xiaomi,Redmi Note,XIA569000,Qualcomm Snapdragon,8,128,SSD,Android,22.04,2021-10-09,2486,2021-10-09,2022-10-09,Filial SP,Operações,usuario45,Ativo,
HW-0030,Notebook,Dell,Latitude 5420,DEL701941,Intel Xeon Gold 6226R,16,1000,SSD,Windows 11 Pro,10.0,2025-10-15,10134,2025-10-15,2028-10-14,Matriz - 2º Andar,RH,usuario69,Ativo,
HW-0031,Servidor,HP,EliteDesk 800,HP857343,Intel Xeon Gold 6226R,64,2000,HDD,Windows Server 2022,10.0,2021-08-29,15896,2021-08-29,2026-08-28,Matriz - 1º Andar,Operações,usuario60,Ativo,
HW-0032,Desktop,Asus,ZenBook,ASU243385,AMD Ryzen 5 5600,32,512,SSD,Windows 11 Pro,10.0,2024-12-09,3742,2024-12-09,2025-12-09,Matriz - 3º Andar,Diretoria,usuario90,Ativo,
HW-0033,Servidor,HP,ProLiant DL380,HP358195,Intel Xeon Gold 6226R,32,2000,SSD,Ubuntu 22.04,22.04,2022-11-20,23623,2022-11-20,2027-11-19,Home Office,Operações,usuario72,Ativo,
HW-0034,Smartphone,Motorola,Moto G,MOT732016,Qualcomm Snapdragon,8,256,HDD,Android,22.04,2023-05-11,1843,2023-05-11,2026-05-10,Matriz - 3º Andar,Marketing,usuario10,Ativo,
HW-0035,Tablet,Apple,iPad Pro,APP563484,Apple M1,4,128,SSD,iOS,22.04,2025-09-17,3274,2025-09-17,2030-09-16,Filial SP,Financeiro,usuario46,Ativo,
HW-0036,Servidor,Lenovo,ThinkCentre M90,LEN439590,Intel Xeon Gold 6226R,64,1000,HDD,Ubuntu 22.04,22.04,2021-08-04,32617,2021-08-04,2026-08-03,Data Center,Marketing,usuario29,Ativo,
HW-0037,Tablet,Apple,"iMac 24""",APP893202,Apple M1,4,256,HDD,iOS,22.04,2021-06-16,2332,2021-06-16,2022-06-16,Matriz - 3º Andar,Marketing,usuario24,Ativo,
HW-0038,Smartphone,Apple,iPad Pro,APP680766,Apple M1,8,128,HDD,iOS,22.04,2023-04-27,2185,2023-04-27,2028-04-25,Matriz - 3º Andar,Comercial,usuario73,Ativo,
HW-0039,Desktop,HP,ProBook 450,HP734901,AMD Ryzen 5 5600,16,512,NVMe,Windows 11 Pro,10.0,2025-09-29,5570,2025-09-29,2028-09-28,Home Office,TI,usuario96,Inativo,
HW-0040,Servidor,IBM,System x3650,IBM800656,Intel Xeon Gold 6226R,32,2000,HDD,Ubuntu 22.04,22.04,2025-10-10,33961,2025-10-10,2026-10-10,Matriz - 3º Andar,Financeiro,usuario65,Ativo,
HW-0041,Notebook,Apple,"iMac 24""",APP330452,Intel Core i3-10100,8,512,HDD,macOS Monterey,12.0,2023-08-20,10824,2023-08-20,2026-08-19,Matriz - 1º Andar,TI,usuario11,Manutenção,
HW-0042,Desktop,HP,EliteDesk 800,HP140704,Intel Xeon Gold 6226R,32,256,HDD,Windows 11 Pro,10.0,2022-09-30,5182,2022-09-30,2023-09-30,Matriz - 1º Andar,RH,usuario6,Ativo,
HW-0043,Notebook,Asus,ExpertCenter D700,ASU196281,Intel Core i3-10100,32,256,SSD,Windows 10 Pro,10.0,2022-06-20,8561,2022-06-20,2025-06-19,Matriz - 3º Andar,Diretoria,usuario34,Ativo,
HW-0044,Smartphone,Samsung,Galaxy S22,SAM290702,Qualcomm Snapdragon,8,256,NVMe,Android,22.04,2025-06-06,1972,2025-06-06,2028-06-05,Data Center,Operações,usuario73,Ativo,
HW-0045,Tablet,Apple,"MacBook Pro 14""",APP466852,Apple M1,8,256,SSD,iOS,22.04,2024-05-15,4259,2024-05-15,2029-05-14,Matriz - 2º Andar,Operações,usuario32,Ativo,
HW-0046,Servidor,Dell,PowerEdge R740,DEL557046,Intel Xeon Gold 6226R,64,1000,HDD,Ubuntu 22.04,22.04,2024-08-30,29489,2024-08-30,2025-08-30,Matriz - 3º Andar,Financeiro,usuario85,Ativo,
HW-0047,Smartphone,Samsung,Galaxy Tab S8,SAM987751,Qualcomm Snapdragon,4,256,NVMe,Android,22.04,2024-09-23,2482,2024-09-23,2029-09-22,Matriz - 3º Andar,Operações,usuario42,Ativo,
HW-0048,Smartphone,Samsung,Galaxy Tab S8,SAM963889,Qualcomm Snapdragon,8,256,HDD,Android,22.04,2021-02-06,3364,2021-02-06,2024-02-06,Matriz - 1º Andar,RH,usuario63,Inativo,
HW-0049,Smartphone,Apple,iPhone 13,APP492845,Apple M1,8,256,SSD,iOS,22.04,2021-07-17,2944,2021-07-17,2026-07-16,Filial SP,TI,usuario33,Ativo,
HW-0050,Smartphone,Samsung,Galaxy Tab S8,SAM374512,Qualcomm Snapdragon,8,256,SSD,Android,22.04,2024-11-26,2318,2024-11-26,2025-11-26,Matriz - 1º Andar,Operações,usuario1,Ativo,
